time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
0.25,bdf2,28.0022,0.019631625000000003,3,8.51282766735503e-14,2.51876950669076e-12,7.190260475908872e-08,9.030998171510873e-12,-0.054585763005398434,-0.054592971690681225,7.20868528279045e-06,2.0114456600390588e-06,2.0121800581577127e-06,-7.343981186539631e-10,0.48249917818519794,5.6357397168450995e-09,9.877265762576797e-10,-2.6798064748751143e-05,"{""D"": 5.6357397168450995e-09, ""cp"": 3411.994082933425, ""k"": 0.48249917818519794, ""rho"": 974.4616573052341}","{""D"": 5.64168097277836e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.4000000000009}","[[4.971641228807347e-09, 0.00018813361352308468], [7.165120582102538e-13, 3.135620007652479e-08], [8.51282766735503e-14, 2.51876950669076e-12]]",301.14999999999895,301.15001628113237,2.5348566976971414,2.550000000000007,0.0,0.0
0.5,bdf2,28.0044,0.01963325,3,3.66183681780674e-13,1.9310043760068523e-12,3.059722075704485e-08,3.012878835306765e-11,-0.10884042723292,-0.10885155193705032,1.1124704130310858e-05,2.0066642833540483e-06,2.007181512946525e-06,-5.172295924766378e-10,0.4823088738070155,5.633275804160697e-09,9.85272921193635e-10,-5.343176467132497e-05,"{""D"": 5.633275804160697e-09, ""cp"": 3410.6238914105115, ""k"": 0.4823088738070155, ""rho"": 973.662098071444}","{""D"": 5.641682305424385e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000015}","[[7.080302675584075e-09, 0.00013149447713748253], [6.698896322887051e-13, 2.293872455817438e-08], [3.66183681780674e-13, 1.9310043760068523e-12]]",301.1499999999988,301.15004593792247,2.5286101411831563,2.550000000000011,0.0,0.0
0.75,bdf2,28.0066,0.019634875000000003,3,1.825255542150005e-13,1.668730513248345e-12,7.642074706382118e-08,4.7273296388539165e-12,-0.1628797435420969,-0.16289254797499098,1.2804432894086837e-05,2.002935678772708e-06,2.0033566111194617e-06,-4.2093234675384057e-10,0.4821628083355636,5.63138677910866e-09,9.833953768431711e-10,-7.995978630380135e-05,"{""D"": 5.63138677910866e-09, ""cp"": 3409.572220016058, ""k"": 0.4821628083355636, ""rho"": 973.0503217791138}","{""D"": 5.641684137257387e-09, ""cp"": 3415.29577464789, ""k"": 0.4829577464788736, ""rho"": 976.4000000000016}","[[8.684784069703476e-09, 0.00010682772361267904], [7.706844238469319e-13, 1.9020287567172907e-08], [1.825255542150005e-13, 1.668730513248345e-12]]",301.14999999999884,301.15008429808097,2.523830638899327,2.5500000000000123,0.0,0.0
1.0,bdf2,28.0088,0.0196365,3,4.630145987821551e-13,1.495971102985105e-12,1.085140866052825e-08,7.72670816218124e-12,-0.21674227411751723,-0.21675807651462264,1.5802397105413313e-05,1.9997752603718876e-06,2.0001387811669287e-06,-3.6352079504105414e-10,0.4820396264168998,5.6297957232527055e-09,9.81815828253947e-10,-0.00010640127444377694,"{""D"": 5.6297957232527055e-09, ""cp"": 3408.6853102016785, ""k"": 0.4820396264168998, ""rho"": 972.5356769867085}","{""D"": 5.641686402783604e-09, ""cp"": 3415.2957746478905, ""k"": 0.4829577464788737, ""rho"": 976.4000000000017}","[[1.0031837192289798e-08, 9.221514728899321e-05], [1.3473290689382358e-12, 1.662399107260617e-08], [4.630145987821551e-13, 1.495971102985105e-12]]",301.14999999999844,301.1501296769394,2.5198099764586606,2.5500000000000136,0.0,0.0
1.25,bdf2,28.011,0.019638125000000003,3,2.623686026930675e-13,1.3179871137824533e-12,1.9393610273255035e-08,3.794298208958935e-12,-0.2704553024836904,-0.2704724474099862,1.71449262958423e-05,1.996984473841144e-06,1.9973088145114426e-06,-3.2434067029868833e-10,0.4819310655167691,5.628395418638365e-09,9.80426671677711e-10,-0.0001327679097190158,"{""D"": 5.628395418638365e-09, ""cp"": 3407.903671720738, ""k"": 0.4819310655167691, ""rho"": 972.0830903218309}","{""D"": 5.641689048808314e-09, ""cp"": 3415.2957746478905, ""k"": 0.4829577464788737, ""rho"": 976.4000000000017}","[[1.1215064648637072e-08, 8.227643950107874e-05], [6.581865594179614e-13, 1.496193670047924e-08], [2.623686026930675e-13, 1.3179871137824533e-12]]",301.14999999999907,301.1501811021036,2.5162741431393036,2.5500000000000136,0.0,0.0
1.5,bdf2,28.0132,0.01963975,3,1.39866976918769e-13,1.1729179718981002e-12,3.842774276563432e-08,1.354383272200721e-11,-0.32403330150430826,-0.3240520678659209,1.876636161263212e-05,1.994458908466845e-06,1.9947543279988665e-06,-2.9541953202163394e-10,0.4818328895796169,5.6271308589282526e-09,9.79172741050955e-10,-0.00015906836755638464,"{""D"": 5.6271308589282526e-09, ""cp"": 3407.196804973242, ""k"": 0.4818328895796169, ""rho"": 971.6745804798187}","{""D"": 5.641692060028866e-09, ""cp"": 3415.2957746478905, ""k"": 0.4829577464788737, ""rho"": 976.4000000000017}","[[1.2281784363508277e-08, 7.49550732467358e-05], [1.3875332622537311e-12, 1.372086757936913e-08], [1.39866976918769e-13, 1.1729179718981002e-12]]",301.1499999999991,301.1502379172853,2.5130826599985836,2.5500000000000136,0.0,0.0
1.75,bdf2,28.0154,0.019641375000000003,3,1.277866720195164e-13,1.1191048088221517e-12,6.125424079073127e-08,1.1290079982018142e-11,-0.37748849520861083,-0.37750898214454764,2.0486935936814277e-05,1.9921356294469407e-06,1.992408572207956e-06,-2.7294276101518303e-10,0.4817425825922378,5.625969351088539e-09,9.7802127086107e-10,-0.00018530950064500628,"{""D"": 5.625969351088539e-09, ""cp"": 3406.5465946641116, ""k"": 0.4817425825922378, ""rho"": 971.299467553273}","{""D"": 5.641695400533185e-09, ""cp"": 3415.2957746478905, ""k"": 0.4829577464788737, ""rho"": 976.4000000000017}","[[1.3261439774981307e-08, 6.927298458710577e-05], [1.266730215543375e-12, 1.2747903125266541e-08], [1.277866720195164e-13, 1.1191048088221517e-12]]",301.1499999999991,301.1502996407142,2.510152090259945,2.5500000000000136,0.0,0.0
2.0,bdf2,28.0176,0.019643,3,6.795153885578796e-14,1.1539353350849016e-12,7.486903541575884e-09,1.135314064981685e-11,-0.43083107169552454,-0.4308524991628815,2.1427467356949226e-05,1.9899732351611866e-06,1.990228060439352e-06,-2.5482527816535363e-10,0.4816585053734851,5.6248895816890596e-09,9.769509146136887e-10,-0.00021149420185138031,"{""D"": 5.6248895816890596e-09, ""cp"": 3405.9412386890926, ""k"": 0.4816585053734851, ""rho"": 970.9507936702963}","{""D"": 5.641699061161151e-09, ""cp"": 3415.2957746478905, ""k"": 0.4829577464788737, ""rho"": 976.4000000000017}","[[1.4171337974402036e-08, 6.469766723510588e-05], [1.2484207722005889e-12, 1.1958169704995456e-08], [6.795153885578796e-14, 1.1539353350849016e-12]]",301.14999999999907,301.1503659000335,2.50742807554919,2.5500000000000136,0.0,0.0
2.25,bdf2,28.0198,0.019644625000000002,3,2.357540332779544e-13,5.3411915413401644e-11,4.125586201553233e-07,4.979971990337617e-11,-0.4840514931876291,-0.484073835575316,2.234238768694663e-05,1.987960312186919e-06,1.988200484234495e-06,-2.401720475761956e-10,0.4815802113810346,5.623885915327757e-09,7.807645043848744e-09,-0.001900951638400106,"{""D"": 5.623885915327757e-09, ""cp"": 3405.377521943449, ""k"": 0.4815802113810346, ""rho"": 970.6265894775192}","{""D"": 5.6417028836912894e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000015}","[[1.1920764430612351e-07, 0.0004917497811372855], [3.215031924276234e-11, 2.3620007405304813e-07], [2.357540332779544e-13, 5.3411915413401644e-11]]",301.149999999999,301.15043704657694,2.504895230293119,2.5500000000000114,0.0,0.0
2.5,bdf2,28.022,0.01964625,3,1.7497512792544022e-13,5.164600773188022e-11,6.708222599627334e-08,6.170752797629575e-11,-0.5371873144872911,-0.5372111505536736,2.3836066382565413e-05,1.9860390825604667e-06,1.9862664875832453e-06,-2.2740502277862777e-10,0.48150542772748284,5.622928430081768e-09,7.80005025690319e-09,-0.002109622954288966,"{""D"": 5.622928430081768e-09, ""cp"": 3404.8390796378767, ""k"": 0.48150542772748284, ""rho"": 970.3173580133193}","{""D"": 5.641707112972324e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000015}","[[1.2521557741645055e-07, 0.0004674777033910769], [3.5610552976845415e-11, 2.26363993693258e-07], [1.7497512792544022e-13, 5.164600773188022e-11]]",301.14999999999833,301.1505115539778,2.502479359479057,2.550000000000012,0.0,0.0
