time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json
0.25,be,28.0022,0.019631625000000003,3,7.550179618881633e-15,2.2842834377846806e-10,1.978150976356119e-10,2.220446049250313e-14,-0.05402053300017101,-0.05446290643078555,0.00044237343061453993,1.9317305042658012e-06,2.0137734718646103e-06,-8.204296759880902e-08,0.4825597169970405,5.63652653071452e-09,-9.238252424017106e-21,3.6669184487518076e-11,"{""D"": 5.63652653071452e-09, ""cp"": 3412.429962378692, ""k"": 0.4825597169970405, ""rho"": 974.7166034983377}","{""D"": 5.641680801423757e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000001}","[[7.13043916149692e-08, 0.0051559378536946586], [3.4605493265182336e-11, 1.5266901266497866e-06], [7.550179618881633e-15, 2.2842834377846806e-10]]"
0.5,bdf2,28.0044,0.01963325,3,1.0192741491128611e-14,2.4673422346638154e-10,4.504272510530427e-10,6.17284001691587e-14,-0.10804507810199498,-0.10872843274682964,0.000683354644834655,1.9801359096525877e-06,2.0078839676263206e-06,-2.774805797373289e-08,0.4823356652747425,5.633624999170881e-09,1.576988380489457e-08,-0.0008539511109378837,"{""D"": 5.633624999170881e-09, ""cp"": 3410.816789978146, ""k"": 0.4823356652747425, ""rho"": 973.7744908202113}","{""D"": 5.641681633478001e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000001}","[[9.751088436094294e-08, 0.0028851069135112537], [4.4969242932026643e-11, 1.2674663671549183e-06], [1.0192741491128611e-14, 2.4673422346638154e-10]]"
0.75,bdf2,28.0066,0.019634875000000003,3,9.626476875595495e-15,2.371457278915091e-10,1.3460521586239338e-10,3.1530333899354446e-14,-0.1619406192422073,-0.16279042832394452,0.000849809081737235,1.9787150896631186e-06,2.0037687454602745e-06,-2.505365579715594e-08,0.4821785713354002,5.631592671501065e-09,1.573756292559944e-08,-0.00127855306372237,"{""D"": 5.631592671501065e-09, ""cp"": 3409.685713614882, ""k"": 0.4821785713354002, ""rho"": 973.1162632736439}","{""D"": 5.641682978506135e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.245343843525769e-07, 0.0020158875164346824], [5.524974836911585e-11, 1.0446050111186992e-06], [9.626476875595495e-15, 2.371457278915091e-10]]"
1.0,bdf2,28.0088,0.0196365,3,1.5666616905076627e-14,2.2115869048953802e-10,4.587263902067207e-11,1.0658141036401503e-13,-0.21569091510983873,-0.2166736863927099,0.0009827712828711643,1.97785747720998e-06,2.0004545895955993e-06,-2.2597112385619488e-08,0.48205173323968686,5.629954015803058e-09,1.5711533606292117e-08,-0.0017017510607730934,"{""D"": 5.629954015803058e-09, ""cp"": 3408.7724793257457, ""k"": 0.48205173323968686, ""rho"": 972.5862063352959}","{""D"": 5.641684612734085e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000003}","[[1.4826695862194495e-07, 0.001623231105192419], [6.328482710200666e-11, 8.999745713808506e-07], [1.5666616905076627e-14, 2.2115869048953802e-10]]"
1.25,bdf2,28.011,0.019638125000000003,3,3.3975789956405875e-15,2.0802305412006706e-10,2.545448296586983e-10,9.059419880941277e-14,-0.2693044146464494,-0.270401450693214,0.0010970360467645879,1.977101454413461e-06,1.997587603447464e-06,-2.0486149034002973e-08,0.4819417748060637,5.6285354808975975e-09,1.568901634971154e-08,-0.0021237280123707672,"{""D"": 5.6285354808975975e-09, ""cp"": 3407.9807786036586, ""k"": 0.4819417748060637, ""rho"": 972.1276965515942}","{""D"": 5.6416869613291886e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000004}","[[1.6891324874330696e-07, 0.0014041014283733364], [7.030383710412692e-11, 8.073998557315852e-07], [3.3975789956405875e-15, 2.0802305412006706e-10]]"
1.5,bdf2,28.0132,0.01963975,3,3.3975783592873286e-15,1.978227603513894e-10,1.1254996934439987e-10,4.3520742565306136e-14,-0.3227923659343945,-0.3239913441348108,0.0011989782004163119,1.976237539623771e-06,1.9950154546291366e-06,-1.877791500536571e-08,0.48184293869164063,5.627262295823142e-09,1.566881474013744e-08,-0.002544622034664458,"{""D"": 5.627262295823142e-09, ""cp"": 3407.269158579813, ""k"": 0.48184293869164063, ""rho"": 971.7163607406619}","{""D"": 5.641689818361082e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000005}","[[1.8721943744915314e-07, 0.0012596618467489416], [7.664842401375592e-11, 7.428843957420231e-07], [3.3975783592873286e-15, 1.978227603513894e-10]]"
1.75,bdf2,28.0154,0.019641375000000003,3,1.90641857961021e-14,1.8962313201124408e-10,8.29913915367797e-11,5.995204332975845e-14,-0.3761646055184513,-0.3774564763418198,0.0012918708233684573,1.97526115455237e-06,1.992659333505707e-06,-1.7398178953336845e-08,0.4817522489634628,5.626095783209754e-09,1.5650309808128953e-08,-0.0029645361028747077,"{""D"": 5.626095783209754e-09, ""cp"": 3406.6161925369315, ""k"": 0.4817522489634628, ""rho"": 971.3395893609131}","{""D"": 5.641692708451009e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000005}","[[2.0378476164941654e-07, 0.0011538396237295505], [8.256189231641981e-11, 6.940874583579778e-07], [1.90641857961021e-14, 1.8962313201124408e-10]]"
2.0,bdf2,28.0176,0.019643,3,7.55017093821185e-15,1.827397492585681e-10,9.640643838793039e-11,5.81756864903582e-14,-0.42942912984810666,-0.4308068643595675,0.0013777345114608375,1.9742053209374036e-06,1.990471803823112e-06,-1.626648288570839e-08,0.48166791584042634,5.625012666674743e-09,1.56331289901546e-08,-0.0033835491512451406,"{""D"": 5.625012666674743e-09, ""cp"": 3406.0089940510693, ""k"": 0.48166791584042634, ""rho"": 970.9897926116979}","{""D"": 5.641695804532714e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000005}","[[2.1902000704643182e-07, 0.001071253514702197], [8.80776516053508e-11, 6.549928589048264e-07], [7.55017093821185e-15, 1.827397492585681e-10]]"
2.25,bdf2,28.0198,0.019644625000000002,3,4.152593047231801e-15,1.7678216189395604e-10,3.660716174636036e-11,7.638334409421077e-14,-0.48259256901209613,-0.48405043247186086,0.00145786345976473,1.973100202015504e-06,1.988421166079722e-06,-1.532096406421813e-08,0.4815887438743308,5.623997389582185e-09,1.561702331898301e-08,-0.0038017231699445054,"{""D"": 5.623997389582185e-09, ""cp"": 3405.438955895182, ""k"": 0.4815887438743308, ""rho"": 970.6618985727555}","{""D"": 5.641699982068018e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000005}","[[2.3320302104379774e-07, 0.0010041931889914304], [9.325157323978468e-11, 6.224747661111868e-07], [4.152593047231801e-15, 1.7678216189395604e-10]]"
2.5,bdf2,28.022,0.01964625,3,2.0951714298352933e-14,1.7150725284409385e-10,2.6500401872908697e-10,2.6645352591003757e-14,-0.535660438937557,-0.5371936485104811,0.0015332095729241324,1.9719674562421905e-06,1.9864847491521157e-06,-1.451729290992522e-08,0.48151387829517145,5.623038821726614e-09,1.5601814736007257e-08,-0.004219108890176403,"{""D"": 5.623038821726614e-09, ""cp"": 3404.899923725234, ""k"": 0.48151387829517145, ""rho"": 970.3522798643385}","{""D"": 5.641704224827594e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000007}","[[2.4652721907578816e-07, 0.0009482366269077449], [9.813650849420712e-11, 5.947382650849603e-07], [2.0951714298352933e-14, 1.7150725284409385e-10]]"
2.75,bdf2,28.0242,0.019647875000000002,3,1.963042992937409e-14,1.6677308771446083e-10,6.014033715473488e-11,2.042810365310288e-14,-0.588637415342224,-0.5902419266050174,0.0016045112627933733,1.9708216841744817e-06,1.9846455852189505e-06,-1.382390104446877e-08,0.4814426794301301,5.622128628534932e-09,1.5587369976248635e-08,-0.004635749236410159,"{""D"": 5.622128628534932e-09, ""cp"": 3404.3872918969364, ""k"": 0.4814426794301301, ""rho"": 970.0582216350322}","{""D"": 5.641708276334679e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.4000000000008}","[[2.5913254223612984e-07, 0.0009005907685696358], [1.027800235027224e-10, 5.706500918859414e-07], [1.963042992937409e-14, 1.6677308771446083e-10]]"
3.0,bdf2,28.0264,0.0196495,3,1.79316378603256e-14,1.6248248933678392e-10,5.718447937397286e-11,6.261657858885883e-14,-0.6415276062342437,-0.643199889769619,0.0016722835353752963,1.969672572427556e-06,1.9828905537786092e-06,-1.3217981351053272e-08,0.48137465266838,5.621260361443797e-09,1.5573585991531932e-08,-0.005051680129782638,"{""D"": 5.621260361443797e-09, ""cp"": 3403.897499212336, ""k"": 0.48137465266838, ""rho"": 969.7776246045775}","{""D"": 5.641712057020705e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.4000000000008}","[[2.7112401109129475e-07, 0.0008593715176079868], [1.07221756700612e-10, 5.494403287027076e-07], [1.79316378603256e-14, 1.6248248933678392e-10]]"
3.25,bdf2,28.0286,0.019651125000000002,3,3.13331688771704e-14,1.5855761148486592e-10,8.526512829121202e-11,4.6629367034256575e-14,-0.6943345805128202,-0.6960715488446567,0.0017369683318365636,1.9685265342881557e-06,1.9812092517768435e-06,-1.2682717488687812e-08,0.481309405847381,5.6204289043250845e-09,1.556038107650891e-08,-0.005466933089483358,"{""D"": 5.6204289043250845e-09, ""cp"": 3403.4277221011434, ""k"": 0.481309405847381, ""rho"": 969.5088242842951}","{""D"": 5.641717629200562e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.4000000000009}","[[2.8258291297122985e-07, 0.0008232480595309887], [1.1147020208291915e-10, 5.305578892127141e-07], [3.13331688771704e-14, 1.5855761148486592e-10]]"
3.5,bdf2,28.0308,0.01965275,3,6.606389088092109e-15,1.5495073633772684e-10,9.22000253922306e-11,7.105427357601002e-15,-0.7470614789507066,-0.7488604286407963,0.0017989496900896462,1.9673878138977666e-06,1.9795932623914677e-06,-1.2205448493701127e-08,0.48124662168186205,5.6196301152509295e-09,1.5547689125562634e-08,-0.005881536037759035,"{""D"": 5.6196301152509295e-09, ""cp"": 3402.975676109407, ""k"": 0.48124662168186205, ""rho"": 969.2504739826348}","{""D"": 5.641723265840789e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[2.9357382231545047e-07, 0.0007912476359065793], [1.1556122297659527e-10, 5.135932919911581e-07], [6.606389088092109e-15, 1.5495073633772684e-10]]"
3.75,bdf2,28.033,0.019654375,3,6.795140994489272e-15,1.5161745497438165e-10,1.716671249596402e-10,1.7763568394002505e-14,-0.7997111827581708,-0.8015696596672228,0.0018584769090520536,1.9662592060893643e-06,1.9780356603411494e-06,-1.1776454251785167e-08,0.4811860391133793,5.6188605841126124e-09,1.5535455747649138e-08,-0.006295513377679523,"{""D"": 5.6188605841126124e-09, ""cp"": 3402.539481616331, ""k"": 0.4811860391133793, ""rho"": 969.0014656545839}","{""D"": 5.6417288185844775e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[3.0414906245212646e-07, 0.0007626397300784416], [1.194851929853501e-10, 4.982336563363001e-07], [6.795140994489272e-15, 1.5161745497438165e-10]]"
4.0,bdf2,28.0352,0.019656,3,1.5855324001035753e-14,1.4851597076331504e-10,3.632294465205632e-11,1.5987211554602254e-14,-0.8522862344210204,-0.8542020472802392,0.001915812859218824,1.9651425256027474e-06,1.9765306656228286e-06,-1.138814002008122e-08,0.48112744025654863,5.618117462929681e-09,1.5523635546768933e-08,-0.006708887224056917,"{""D"": 5.618117462929681e-09, ""cp"": 3402.11756984715, ""k"": 0.48112744025654863, ""rho"": 968.7608744996526}","{""D"": 5.6417341312263475e-09, ""cp"": 3415.295774647889, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[3.1435180041677644e-07, 0.0007368633908269832], [1.2329175444748136e-10, 4.842346229441071e-07], [1.5855324001035753e-14, 1.4851597076331504e-10]]"
4.25,bdf2,28.0374,0.019657625,3,6.417629061748972e-15,1.4562225064140572e-10,8.844835974741727e-11,5.639932965095795e-14,-0.9047889667918619,-0.9067601247281232,0.0019711579362612364,1.9640389164505308e-06,1.9750733943831602e-06,-1.103447793262944e-08,0.4810706410074107,5.617398343734187e-09,1.551219016522084e-08,-0.007121677262256864,"{""D"": 5.617398343734187e-09, ""cp"": 3401.708615253357, ""k"": 0.4810706410074107, ""rho"": 968.5279191013055}","{""D"": 5.641739043621963e-09, ""cp"": 3415.295774647889, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.2421818346443245e-07, 0.0007134796710615899], [1.2693957031861987e-10, 4.7140182668056964e-07], [6.417629061748972e-15, 1.4562225064140572e-10]]"
4.5,bdf2,28.0396,0.019659250000000003,3,6.417626918843103e-15,1.429180085823658e-10,5.968558980384842e-11,2.6645352591003757e-14,-0.957221517000255,-0.9592461950035158,0.0020246780032607825,1.9629490589604673e-06,1.973659675488428e-06,-1.0710616527960856e-08,0.4810154841286167,5.616701168633858e-09,1.5501086843014178e-08,-0.00753390192416545,"{""D"": 5.616701168633858e-09, ""cp"": 3401.3114857260402, ""k"": 0.4810154841286167, ""rho"": 968.3019320781485}","{""D"": 5.641745191685748e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.337787934233714e-07, 0.0006921394576511781], [1.304779054093971e-10, 4.5957830064433745e-07], [6.417626918843103e-15, 1.429180085823658e-10]]"
4.75,bdf2,28.0418,0.019660875,3,2.0762903494085104e-14,1.4037659923360425e-10,8.708411769475788e-11,1.4654943925052066e-14,-1.0095858218570868,-1.0116623635269661,0.0020765416698793615,1.961873310486375e-06,1.972285912757198e-06,-1.0412602270823235e-08,0.48096183405604165,5.61602416225339e-09,1.5490297335721387e-08,-0.007945577546295064,"{""D"": 5.61602416225339e-09, ""cp"": 3400.9252052035004, ""k"": 0.48096183405604165, ""rho"": 968.0823380411517}","{""D"": 5.641752322978439e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.430598296194048e-07, 0.0006725611111359329], [1.3391166736078156e-10, 4.4863558027615877e-07], [2.0762903494085104e-14, 1.4037659923360425e-10]]"
5.0,bdf2,28.044,0.019662500000000003,3,3.076683706813468e-14,1.379833937740907e-10,1.6439116734545678e-10,3.552713678800501e-14,-1.0618836999828576,-1.064010565295348,0.0021268653124904002,1.9608118024098498e-06,1.9709489796759255e-06,-1.0137177266075694e-08,0.4809095729299421,5.6153657800848105e-09,1.547979708785641e-08,-0.008356719349115452,"{""D"": 5.6153657800848105e-09, ""cp"": 3400.548925095583, ""k"": 0.4809095729299421, ""rho"": 967.868636748148}","{""D"": 5.641759448383244e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.5208394939966624e-07, 0.0006545145586447732], [1.3724576381370861e-10, 4.38467306906885e-07], [3.076683706813468e-14, 1.379833937740907e-10]]"
5.25,bdf2,28.0462,0.019664125,3,2.1706656352821557e-14,1.3572306677226954e-10,6.866684998385608e-11,1.509903313490213e-14,-1.1141168108376578,-1.1162925867481022,0.0021757759104443775,1.9597645078781622e-06,1.9696461376944346e-06,-9.881629816272376e-09,0.4808585975150166,5.614724668398351e-09,1.5469564590875972e-08,-0.008767341405334438,"{""D"": 5.614724668398351e-09, ""cp"": 3400.18190210812, ""k"": 0.4808585975150166, ""rho"": 967.6603900311095}","{""D"": 5.641766480068085e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.608708672396656e-07, 0.0006378097462720134], [1.4051058413542003e-10, 4.289845071762464e-07], [2.1706656352821557e-14, 1.3572306677226954e-10]]"
5.5,bdf2,28.0484,0.019665750000000003,3,2.3027922576640755e-14,1.3358377584921144e-10,1.7541879060445353e-10,4.04121180963557e-14,-1.1662867182734133,-1.1685100836956508,0.0022233654222374444,1.9587312896286152e-06,1.968374971947521e-06,-9.643682318905934e-09,0.48080881677738196,5.61409963269702e-09,1.54595808784842e-08,-0.009177456768016687,"{""D"": 5.61409963269702e-09, ""cp"": 3399.8234807971503, ""k"": 0.48080881677738196, ""rho"": 967.4572115116034}","{""D"": 5.641773329491081e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.694379096812859e-07, 0.0006223166095951537], [1.437002769890814e-10, 4.2011207097003617e-07], [2.3027922576640755e-14, 1.3358377584921144e-10]]"
5.75,bdf2,28.0506,0.019667375,3,3.3598103847931735e-14,1.3155071803125472e-10,3.3526248444104567e-10,9.015010959956271e-14,-1.2183948837207959,-1.2206645968362295,0.002269713115433669,1.957711934067916e-06,1.9671333400620795e-06,-9.421405994163314e-09,0.4807601499548292,5.613489612581565e-09,1.5449829124461444e-08,-0.009587077225789732,"{""D"": 5.613489612581565e-09, ""cp"": 3399.47307967477, ""k"": 0.4807601499548292, ""rho"": 967.2587584099327}","{""D"": 5.641779908638436e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.778003934081235e-07, 0.0006078773515828047], [1.4678898319126427e-10, 4.11786062677636e-07], [3.3598103847931735e-14, 1.3155071803125472e-10]]"
6.0,bdf2,28.0528,0.019669000000000002,3,1.453400560321923e-14,1.296251123868186e-10,5.5365489970427006e-11,3.4638958368304884e-14,-1.2704426416006005,-1.272757564748872,0.0023149231482715305,1.9567061757503288e-06,1.9659193309324144e-06,-9.213155182085638e-09,0.48071252500284467,5.6128936615050926e-09,1.5440294318990397e-08,-0.009996214490443456,"{""D"": 5.6128936615050926e-09, ""cp"": 3399.130180020482, ""k"": 0.48071252500284467, ""rho"": 967.0647249491863}","{""D"": 5.64178613113209e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.8597189459848833e-07, 0.0005943703035208214], [1.4980388328557802e-10, 4.0395164999477144e-07], [1.453400560321923e-14, 1.296251123868186e-10]]"
6.25,bdf2,28.055,0.019670625,3,1.5855272591034776e-14,1.2778919534750906e-10,1.3881162885809317e-10,4.085620730620576e-14,-1.3224312794361843,-1.3247903338339029,0.002359054397718552,1.955713715045087e-06,1.9647312311881966e-06,-9.017516143109445e-09,0.48066587733061383,5.612310930311506e-09,1.5430963005433107e-08,-0.010404878870035633,"{""D"": 5.612310930311506e-09, ""cp"": 3398.7943167804196, ""k"": 0.48066587733061383, ""rho"": 966.8748369901115}","{""D"": 5.641793579598086e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[3.939645949118654e-07, 0.0005816992233247494], [1.5275630250561104e-10, 3.9656149684303037e-07], [1.5855272591034776e-14, 1.2778919534750906e-10]]"
6.5,bdf2,28.057199999999998,0.019672250000000002,3,1.5855266218086922e-14,1.2603826479228064e-10,1.2641976354643703e-10,5.595524044110789e-14,-1.3743620040703841,-1.3767641688701815,0.0024021647997973794,1.9547342309695876e-06,1.9635674976692173e-06,-8.833266699629729e-09,0.48062014876345516,5.611740653700207e-09,1.5421823063768125e-08,-0.010813080375693755,"{""D"": 5.611740653700207e-09, ""cp"": 3398.465071096877, ""k"": 0.48062014876345516, ""rho"": 966.6888476270749}","{""D"": 5.6418023453379e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[4.0178935019644867e-07, 0.0005697812384383639], [1.5565360225416223e-10, 3.895744715056438e-07], [1.5855266218086922e-14, 1.2603826479228064e-10]]"
6.75,bdf2,28.0594,0.019673875,3,1.661027209132665e-14,1.2436483215798681e-10,1.5756995708215982e-10,1.0036416142611415e-13,-1.4262359427107094,-1.4286802602043736,0.0024443174936641388,1.953767390484745e-06,1.9624267346413423e-06,-8.659344156597256e-09,0.48057528668397653,5.611182139036914e-09,1.5412863531867002e-08,-0.011220828410811512,"{""D"": 5.611182139036914e-09, ""cp"": 3398.142064124631, ""k"": 0.48057528668397653, ""rho"": 966.5065335426148}","{""D"": 5.641811116052564e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[4.0945605572782317e-07, 0.0005585445474059034], [1.584846461222925e-10, 3.8295463985112445e-07], [1.661027209132665e-14, 1.2436483215798681e-10]]"
7.0,bdf2,28.0616,0.019675500000000002,3,1.8875301321139735e-14,1.2276924574989023e-10,1.4699708117404953e-10,7.72715225139109e-14,-1.478054152582384,-1.4805397312514401,0.0024855786690560766,1.9528128552728406e-06,1.961307674791678e-06,-8.494819518837276e-09,0.48053124331569064,5.610634757006283e-09,1.5404074456406055e-08,-0.011628131871047052,"{""D"": 5.610634757006283e-09, ""cp"": 3397.8249518729726, ""k"": 0.48053124331569064, ""rho"": 966.3276919666685}","{""D"": 5.6418198414971125e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[4.169736312983996e-07, 0.0005479265869269453], [1.6124886789129692e-10, 3.76670447860815e-07], [1.8875301321139735e-14, 1.2276924574989023e-10]]"
7.25,bdf2,28.0638,0.019677125,3,2.18953402376372e-14,1.2123252293117771e-10,1.4563283912139013e-10,4.4853010194856324e-14,-1.5298176654262163,-1.53234364402266,0.0025259785964437675,1.951870286616483e-06,1.9602091632636612e-06,-8.338876647178044e-09,0.4804879751212203,5.61009793376691e-09,1.539544676701955e-08,-0.012034998784502506,"{""D"": 5.61009793376691e-09, ""cp"": 3397.5134208727864, ""k"": 0.4804879751212203, ""rho"": 966.1521381221858}","{""D"": 5.641828471905214e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[4.2435014485170376e-07, 0.0005378725569009973], [1.6394664511143845e-10, 3.706940387764211e-07], [2.18953402376372e-14, 1.2123252293117771e-10]]"
